index,start,end,label,file name,missing queen,queen,active day,swarming,duration
1,0.0,11.25,bee,CF001 - Missing Queen - Day -,True,False,False,False,11.25
2,11.26,11.52,nobee,CF001 - Missing Queen - Day -,True,False,False,False,0.2599999999999998
3,11.53,15.4,bee,CF001 - Missing Queen - Day -,True,False,False,False,3.870000000000001
6,0.0,7.3,bee,CF003 - Active - Day - (214),False,False,True,False,7.3
7,7.31,7.87,nobee,CF003 - Active - Day - (214),False,False,True,False,0.5600000000000005
8,7.88,10.37,bee,CF003 - Active - Day - (214),False,False,True,False,2.4899999999999993
9,10.38,10.63,nobee,CF003 - Active - Day - (214),False,False,True,False,0.25
10,10.64,15.64,bee,CF003 - Active - Day - (214),False,False,True,False,5.0
11,15.65,17.32,nobee,CF003 - Active - Day - (214),False,False,True,False,1.67
12,17.33,20.93,bee,CF003 - Active - Day - (214),False,False,True,False,3.6000000000000014
13,20.94,28.96,nobee,CF003 - Active - Day - (214),False,False,True,False,8.02
14,28.97,33.01,bee,CF003 - Active - Day - (214),False,False,True,False,4.039999999999999
15,33.02,36.43,nobee,CF003 - Active - Day - (214),False,False,True,False,3.4099999999999966
16,36.44,37.65,bee,CF003 - Active - Day - (214),False,False,True,False,1.2100000000000009
17,37.66,44.42,nobee,CF003 - Active - Day - (214),False,False,True,False,6.760000000000005
18,44.43,49.98,bee,CF003 - Active - Day - (214),False,False,True,False,5.549999999999997
19,49.99,58.07,nobee,CF003 - Active - Day - (214),False,False,True,False,8.079999999999998
20,58.08,66.38,bee,CF003 - Active - Day - (214),False,False,True,False,8.299999999999997
21,66.39,74.95,nobee,CF003 - Active - Day - (214),False,False,True,False,8.560000000000002
22,74.96,77.5,bee,CF003 - Active - Day - (214),False,False,True,False,2.5400000000000063
23,77.51,89.84,nobee,CF003 - Active - Day - (214),False,False,True,False,12.329999999999998
24,89.85,90.41,bee,CF003 - Active - Day - (214),False,False,True,False,0.5600000000000023
25,90.42,217.94,nobee,CF003 - Active - Day - (214),False,False,True,False,127.52
26,217.95,218.37,bee,CF003 - Active - Day - (214),False,False,True,False,0.4200000000000159
27,218.38,296.66,nobee,CF003 - Active - Day - (214),False,False,True,False,78.28000000000003
28,296.67,296.9,bee,CF003 - Active - Day - (214),False,False,True,False,0.22999999999996135
29,296.91,300.0,bee,CF003 - Active - Day - (214),False,False,True,False,3.089999999999975
32,0.0,19.59,bee,CF003 - Active - Day - (215),False,False,True,False,19.59
33,19.6,19.99,nobee,CF003 - Active - Day - (215),False,False,True,False,0.389999999999997
34,20.0,20.68,bee,CF003 - Active - Day - (215),False,False,True,False,0.6799999999999997
35,20.69,31.58,nobee,CF003 - Active - Day - (215),False,False,True,False,10.889999999999997
