start,end,label,file name,missing queen,queen,active day,swarming,duration
0.0,11.25,bee,CF001 - Missing Queen - Day -,True,False,False,False,11.25
11.26,11.52,nobee,CF001 - Missing Queen - Day -,True,False,False,False,0.2599999999999998
11.53,15.4,bee,CF001 - Missing Queen - Day -,True,False,False,False,3.870000000000001
0.0,7.3,bee,CF003 - Active - Day - (214),False,False,True,False,7.3
7.31,7.87,nobee,CF003 - Active - Day - (214),False,False,True,False,0.5600000000000005
7.88,10.37,bee,CF003 - Active - Day - (214),False,False,True,False,2.4899999999999993
10.38,10.63,nobee,CF003 - Active - Day - (214),False,False,True,False,0.25
10.64,15.64,bee,CF003 - Active - Day - (214),False,False,True,False,5.0
15.65,17.32,nobee,CF003 - Active - Day - (214),False,False,True,False,1.67
17.33,20.93,bee,CF003 - Active - Day - (214),False,False,True,False,3.6000000000000014
20.94,28.96,nobee,CF003 - Active - Day - (214),False,False,True,False,8.02
28.97,33.01,bee,CF003 - Active - Day - (214),False,False,True,False,4.039999999999999
33.02,36.43,nobee,CF003 - Active - Day - (214),False,False,True,False,3.4099999999999966
36.44,37.65,bee,CF003 - Active - Day - (214),False,False,True,False,1.2100000000000009
37.66,44.42,nobee,CF003 - Active - Day - (214),False,False,True,False,6.760000000000005
44.43,49.98,bee,CF003 - Active - Day - (214),False,False,True,False,5.549999999999997
49.99,58.07,nobee,CF003 - Active - Day - (214),False,False,True,False,8.079999999999998
58.08,66.38,bee,CF003 - Active - Day - (214),False,False,True,False,8.299999999999997
66.39,74.95,nobee,CF003 - Active - Day - (214),False,False,True,False,8.560000000000002
74.96,77.5,bee,CF003 - Active - Day - (214),False,False,True,False,2.5400000000000063
77.51,89.84,nobee,CF003 - Active - Day - (214),False,False,True,False,12.329999999999998
89.85,90.41,bee,CF003 - Active - Day - (214),False,False,True,False,0.5600000000000023
90.42,217.94,nobee,CF003 - Active - Day - (214),False,False,True,False,127.52
217.95,218.37,bee,CF003 - Active - Day - (214),False,False,True,False,0.4200000000000159
218.38,296.66,nobee,CF003 - Active - Day - (214),False,False,True,False,78.28000000000003
296.67,296.9,bee,CF003 - Active - Day - (214),False,False,True,False,0.22999999999996135
296.91,300.0,bee,CF003 - Active - Day - (214),False,False,True,False,3.089999999999975
0.0,19.59,bee,CF003 - Active - Day - (215),False,False,True,False,19.59
19.6,19.99,nobee,CF003 - Active - Day - (215),False,False,True,False,0.389999999999997
20.0,20.68,bee,CF003 - Active - Day - (215),False,False,True,False,0.6799999999999997
20.69,31.58,nobee,CF003 - Active - Day - (215),False,False,True,False,10.889999999999997
31.59,53.84,bee,CF003 - Active - Day - (215),False,False,True,False,22.250000000000004
53.85,54.27,nobee,CF003 - Active - Day - (215),False,False,True,False,0.4200000000000017
54.28,59.5,bee,CF003 - Active - Day - (215),False,False,True,False,5.219999999999999
59.51,59.91,nobee,CF003 - Active - Day - (215),False,False,True,False,0.3999999999999986
59.92,85.44,bee,CF003 - Active - Day - (215),False,False,True,False,25.519999999999996
85.45,85.73,nobee,CF003 - Active - Day - (215),False,False,True,False,0.28000000000000114
85.74,86.74,bee,CF003 - Active - Day - (215),False,False,True,False,1.0
86.75,108.11,nobee,CF003 - Active - Day - (215),False,False,True,False,21.36
108.12,113.93,bee,CF003 - Active - Day - (215),False,False,True,False,5.810000000000002
113.94,114.24,nobee,CF003 - Active - Day - (215),False,False,True,False,0.29999999999999716
114.25,114.53,bee,CF003 - Active - Day - (215),False,False,True,False,0.28000000000000114
114.54,128.48,nobee,CF003 - Active - Day - (215),False,False,True,False,13.939999999999984
128.49,140.8,bee,CF003 - Active - Day - (215),False,False,True,False,12.310000000000002
140.81,141.39,nobee,CF003 - Active - Day - (215),False,False,True,False,0.5799999999999841
141.4,150.64,bee,CF003 - Active - Day - (215),False,False,True,False,9.23999999999998
150.65,151.02,nobee,CF003 - Active - Day - (215),False,False,True,False,0.37000000000000455
151.03,173.77,bee,CF003 - Active - Day - (215),False,False,True,False,22.74000000000001
173.78,174.06,nobee,CF003 - Active - Day - (215),False,False,True,False,0.28000000000000114
174.07,177.95,bee,CF003 - Active - Day - (215),False,False,True,False,3.8799999999999955
177.96,182.51,nobee,CF003 - Active - Day - (215),False,False,True,False,4.549999999999983
182.52,211.64,bee,CF003 - Active - Day - (215),False,False,True,False,29.119999999999976
211.65,224.49,nobee,CF003 - Active - Day - (215),False,False,True,False,12.840000000000003
224.5,294.58,bee,CF003 - Active - Day - (215),False,False,True,False,70.07999999999998
294.59,300.03,nobee,CF003 - Active - Day - (215),False,False,True,False,5.439999999999998
0.0,7.23,bee,CF003 - Active - Day - (216),False,False,True,False,7.23
7.24,7.52,nobee,CF003 - Active - Day - (216),False,False,True,False,0.27999999999999936
7.53,242.59,bee,CF003 - Active - Day - (216),False,False,True,False,235.06
